,besttrack_path,besttrack_id,nwp_path,nwp_id,tracker_lat,tracker_lon
0,data/single-tc-bessttrack/1402.csv,8,data/unzipdata3/1402_KAJIKI/arr/2014013100_4HD.npz,0,[9.544565],[130.88574]
1,data/single-tc-bessttrack/1402.csv,9,data/unzipdata3/1402_KAJIKI/arr/2014013100_4HD.npz,1,[10.201495],[129.06708]
2,data/single-tc-bessttrack/1402.csv,10,data/unzipdata3/1402_KAJIKI/arr/2014013100_4HD.npz,2,[10.379368],[126.79426]
3,data/single-tc-bessttrack/1402.csv,11,data/unzipdata3/1402_KAJIKI/arr/2014013100_4HD.npz,3,[10.570989],[125.0878]
4,data/single-tc-bessttrack/1402.csv,12,data/unzipdata3/1402_KAJIKI/arr/2014013100_4HD.npz,4,[10.962964],[123.281654]
5,data/single-tc-bessttrack/1402.csv,13,data/unzipdata3/1402_KAJIKI/arr/2014013100_4HD.npz,5,[11.500834],[120.77947]
6,data/single-tc-bessttrack/1402.csv,14,data/unzipdata3/1402_KAJIKI/arr/2014013100_4HD.npz,6,[12.407302],[118.540565]
7,data/single-tc-bessttrack/1402.csv,12,data/unzipdata3/1402_KAJIKI/arr/2014020100_4HD.npz,0,[11.25993],[122.05472]
8,data/single-tc-bessttrack/1402.csv,13,data/unzipdata3/1402_KAJIKI/arr/2014020100_4HD.npz,1,[11.979095],[119.80799]
9,data/single-tc-bessttrack/1402.csv,14,data/unzipdata3/1402_KAJIKI/arr/2014020100_4HD.npz,2,[12.34486],[118.85591]
10,data/single-tc-bessttrack/1409.csv,15,data/unzipdata3/1409_RAMMASUN/arr/2014071300_4HD.npz,0,[13.469665],[138.22006]
11,data/single-tc-bessttrack/1409.csv,16,data/unzipdata3/1409_RAMMASUN/arr/2014071300_4HD.npz,1,[13.353957],[136.13216]
12,data/single-tc-bessttrack/1409.csv,17,data/unzipdata3/1409_RAMMASUN/arr/2014071300_4HD.npz,2,[13.34992],[135.16212]
13,data/single-tc-bessttrack/1409.csv,18,data/unzipdata3/1409_RAMMASUN/arr/2014071300_4HD.npz,3,[13.478265],[133.58524]
14,data/single-tc-bessttrack/1409.csv,19,data/unzipdata3/1409_RAMMASUN/arr/2014071300_4HD.npz,4,[13.262642],[131.81691]
15,data/single-tc-bessttrack/1409.csv,20,data/unzipdata3/1409_RAMMASUN/arr/2014071300_4HD.npz,5,[13.5656595],[130.60356]
16,data/single-tc-bessttrack/1409.csv,21,data/unzipdata3/1409_RAMMASUN/arr/2014071300_4HD.npz,6,[13.565689],[129.33731]
17,data/single-tc-bessttrack/1409.csv,19,data/unzipdata3/1409_RAMMASUN/arr/2014071400_4HD.npz,0,[13.462496],[131.17693]
18,data/single-tc-bessttrack/1409.csv,20,data/unzipdata3/1409_RAMMASUN/arr/2014071400_4HD.npz,1,[13.172349],[129.91034]
19,data/single-tc-bessttrack/1409.csv,21,data/unzipdata3/1409_RAMMASUN/arr/2014071400_4HD.npz,2,[12.919487],[128.03333]
20,data/single-tc-bessttrack/1409.csv,22,data/unzipdata3/1409_RAMMASUN/arr/2014071400_4HD.npz,3,[13.172829],[126.9181]
21,data/single-tc-bessttrack/1409.csv,23,data/unzipdata3/1409_RAMMASUN/arr/2014071400_4HD.npz,4,[13.002986],[125.7793]
22,data/single-tc-bessttrack/1409.csv,24,data/unzipdata3/1409_RAMMASUN/arr/2014071400_4HD.npz,5,[13.323026],[124.5441]
23,data/single-tc-bessttrack/1409.csv,25,data/unzipdata3/1409_RAMMASUN/arr/2014071400_4HD.npz,6,[13.483071],[123.1211]
24,data/single-tc-bessttrack/1409.csv,23,data/unzipdata3/1409_RAMMASUN/arr/2014071500_4HD.npz,0,[12.79889],[125.76259]
25,data/single-tc-bessttrack/1409.csv,24,data/unzipdata3/1409_RAMMASUN/arr/2014071500_4HD.npz,1,[13.024189],[124.700745]
26,data/single-tc-bessttrack/1409.csv,25,data/unzipdata3/1409_RAMMASUN/arr/2014071500_4HD.npz,2,[13.154047],[123.32051]
27,data/single-tc-bessttrack/1409.csv,26,data/unzipdata3/1409_RAMMASUN/arr/2014071500_4HD.npz,3,[13.641649],[122.157486]
28,data/single-tc-bessttrack/1409.csv,27,data/unzipdata3/1409_RAMMASUN/arr/2014071500_4HD.npz,4,[14.209986],[121.15789]
29,data/single-tc-bessttrack/1409.csv,28,data/unzipdata3/1409_RAMMASUN/arr/2014071500_4HD.npz,5,[15.0474415],[119.70967]
30,data/single-tc-bessttrack/1409.csv,29,data/unzipdata3/1409_RAMMASUN/arr/2014071500_4HD.npz,6,[15.499328],[118.31912]
31,data/single-tc-bessttrack/1409.csv,27,data/unzipdata3/1409_RAMMASUN/arr/2014071600_4HD.npz,0,[14.340389],[120.68867]
32,data/single-tc-bessttrack/1409.csv,28,data/unzipdata3/1409_RAMMASUN/arr/2014071600_4HD.npz,1,[15.050413],[118.923706]
33,data/single-tc-bessttrack/1409.csv,29,data/unzipdata3/1409_RAMMASUN/arr/2014071600_4HD.npz,2,[15.379004],[117.78766]
34,data/single-tc-bessttrack/1409.csv,30,data/unzipdata3/1409_RAMMASUN/arr/2014071600_4HD.npz,3,[16.077854],[116.591125]
35,data/single-tc-bessttrack/1409.csv,31,data/unzipdata3/1409_RAMMASUN/arr/2014071600_4HD.npz,4,[16.490679],[115.498314]
36,data/single-tc-bessttrack/1409.csv,32,data/unzipdata3/1409_RAMMASUN/arr/2014071600_4HD.npz,5,[17.211302],[114.641174]
37,data/single-tc-bessttrack/1409.csv,33,data/unzipdata3/1409_RAMMASUN/arr/2014071600_4HD.npz,6,[17.983538],[113.71741]
38,data/single-tc-bessttrack/1409.csv,31,data/unzipdata3/1409_RAMMASUN/arr/2014071700_4HD.npz,0,[16.207314],[115.587906]
39,data/single-tc-bessttrack/1409.csv,32,data/unzipdata3/1409_RAMMASUN/arr/2014071700_4HD.npz,1,[16.960354],[114.871605]
40,data/single-tc-bessttrack/1409.csv,33,data/unzipdata3/1409_RAMMASUN/arr/2014071700_4HD.npz,2,[17.596346],[113.89856]
41,data/single-tc-bessttrack/1409.csv,34,data/unzipdata3/1409_RAMMASUN/arr/2014071700_4HD.npz,3,[18.490105],[113.029854]
42,data/single-tc-bessttrack/1409.csv,35,data/unzipdata3/1409_RAMMASUN/arr/2014071700_4HD.npz,4,[19.27886],[111.928]
43,data/single-tc-bessttrack/1409.csv,36,data/unzipdata3/1409_RAMMASUN/arr/2014071700_4HD.npz,5,[19.874138],[110.88388]
44,data/single-tc-bessttrack/1409.csv,37,data/unzipdata3/1409_RAMMASUN/arr/2014071700_4HD.npz,6,[20.536156],[109.955414]
45,data/single-tc-bessttrack/1409.csv,35,data/unzipdata3/1409_RAMMASUN/arr/2014071800_4HD.npz,0,[19.298836],[112.34125]
46,data/single-tc-bessttrack/1409.csv,36,data/unzipdata3/1409_RAMMASUN/arr/2014071800_4HD.npz,1,[19.914639],[111.130684]
47,data/single-tc-bessttrack/1409.csv,37,data/unzipdata3/1409_RAMMASUN/arr/2014071800_4HD.npz,2,[20.334335],[110.141464]
48,data/single-tc-bessttrack/1409.csv,38,data/unzipdata3/1409_RAMMASUN/arr/2014071800_4HD.npz,3,[21.064583],[109.325134]
49,data/single-tc-bessttrack/1409.csv,39,data/unzipdata3/1409_RAMMASUN/arr/2014071800_4HD.npz,4,[21.67738],[108.26797]
50,data/single-tc-bessttrack/1409.csv,40,data/unzipdata3/1409_RAMMASUN/arr/2014071800_4HD.npz,5,[21.912268],[107.36175]
51,data/single-tc-bessttrack/1409.csv,41,data/unzipdata3/1409_RAMMASUN/arr/2014071800_4HD.npz,6,[22.330448],[106.8032]
52,data/single-tc-bessttrack/1409.csv,39,data/unzipdata3/1409_RAMMASUN/arr/2014071900_4HD.npz,0,[21.766747],[108.14726]
53,data/single-tc-bessttrack/1409.csv,40,data/unzipdata3/1409_RAMMASUN/arr/2014071900_4HD.npz,1,[22.267357],[107.19736]
54,data/single-tc-bessttrack/1409.csv,41,data/unzipdata3/1409_RAMMASUN/arr/2014071900_4HD.npz,2,[22.834],[106.01758]
55,data/single-tc-bessttrack/1409.csv,42,data/unzipdata3/1409_RAMMASUN/arr/2014071900_4HD.npz,3,[23.02503],[104.7147]
56,data/single-tc-bessttrack/1409.csv,43,data/unzipdata3/1409_RAMMASUN/arr/2014071900_4HD.npz,4,[23.447525],[103.210884]
57,data/single-tc-bessttrack/1421.csv,8,data/unzipdata3/1421_SINLAKU/arr/2014112800_4HD.npz,0,[10.777106],[116.42499]
58,data/single-tc-bessttrack/1421.csv,9,data/unzipdata3/1421_SINLAKU/arr/2014112800_4HD.npz,1,[11.605042],[115.35971]
59,data/single-tc-bessttrack/1421.csv,10,data/unzipdata3/1421_SINLAKU/arr/2014112800_4HD.npz,2,[11.472356],[113.573265]
60,data/single-tc-bessttrack/1421.csv,11,data/unzipdata3/1421_SINLAKU/arr/2014112800_4HD.npz,3,[11.956882],[112.65]
61,data/single-tc-bessttrack/1421.csv,12,data/unzipdata3/1421_SINLAKU/arr/2014112800_4HD.npz,4,[12.603129],[111.11486]
62,data/single-tc-bessttrack/1421.csv,13,data/unzipdata3/1421_SINLAKU/arr/2014112800_4HD.npz,5,[12.513972],[110.33016]
63,data/single-tc-bessttrack/1421.csv,14,data/unzipdata3/1421_SINLAKU/arr/2014112800_4HD.npz,6,[13.370743],[109.27809]
64,data/single-tc-bessttrack/1421.csv,12,data/unzipdata3/1421_SINLAKU/arr/2014112900_4HD.npz,0,[12.733],[111.82053]
65,data/single-tc-bessttrack/1421.csv,13,data/unzipdata3/1421_SINLAKU/arr/2014112900_4HD.npz,1,[12.587812],[110.42618]
66,data/single-tc-bessttrack/1421.csv,14,data/unzipdata3/1421_SINLAKU/arr/2014112900_4HD.npz,2,[12.563829],[110.20608]
67,data/single-tc-bessttrack/1421.csv,15,data/unzipdata3/1421_SINLAKU/arr/2014112900_4HD.npz,3,[12.689934],[109.43258]
68,data/single-tc-bessttrack/1421.csv,16,data/unzipdata3/1421_SINLAKU/arr/2014112900_4HD.npz,4,[12.922535],[108.5589]
69,data/single-tc-bessttrack/1421.csv,17,data/unzipdata3/1421_SINLAKU/arr/2014112900_4HD.npz,5,[13.203488],[107.92721]
70,data/single-tc-bessttrack/1421.csv,16,data/unzipdata3/1421_SINLAKU/arr/2014113000_4HD.npz,0,[13.372698],[108.89837]
71,data/single-tc-bessttrack/1421.csv,17,data/unzipdata3/1421_SINLAKU/arr/2014113000_4HD.npz,1,[13.306892],[108.01519]
72,data/single-tc-bessttrack/1422.csv,14,data/unzipdata3/1422_HAGUPIT/arr/2014120400_4HD.npz,0,[9.883788],[133.74147]
73,data/single-tc-bessttrack/1422.csv,15,data/unzipdata3/1422_HAGUPIT/arr/2014120400_4HD.npz,1,[10.518136],[132.24547]
74,data/single-tc-bessttrack/1422.csv,16,data/unzipdata3/1422_HAGUPIT/arr/2014120400_4HD.npz,2,[10.847612],[131.21103]
75,data/single-tc-bessttrack/1422.csv,17,data/unzipdata3/1422_HAGUPIT/arr/2014120400_4HD.npz,3,[11.178487],[130.20491]
76,data/single-tc-bessttrack/1422.csv,18,data/unzipdata3/1422_HAGUPIT/arr/2014120400_4HD.npz,4,[11.328787],[129.48415]
