Unnamed: 0.1,Unnamed: 0,besttrack_path,besttrack_id,nwp_path,nwp_id
0,0,data/single-tc-bessttrack/1402.csv,8,data/added_features_data/1402_KAJIKI/arr/2014013100_4HD.npz,0
1,1,data/single-tc-bessttrack/1402.csv,9,data/added_features_data/1402_KAJIKI/arr/2014013100_4HD.npz,1
2,2,data/single-tc-bessttrack/1402.csv,10,data/added_features_data/1402_KAJIKI/arr/2014013100_4HD.npz,2
3,3,data/single-tc-bessttrack/1402.csv,11,data/added_features_data/1402_KAJIKI/arr/2014013100_4HD.npz,3
4,4,data/single-tc-bessttrack/1402.csv,12,data/added_features_data/1402_KAJIKI/arr/2014013100_4HD.npz,4
5,5,data/single-tc-bessttrack/1402.csv,13,data/added_features_data/1402_KAJIKI/arr/2014013100_4HD.npz,5
6,6,data/single-tc-bessttrack/1402.csv,14,data/added_features_data/1402_KAJIKI/arr/2014013100_4HD.npz,6
7,7,data/single-tc-bessttrack/1402.csv,12,data/added_features_data/1402_KAJIKI/arr/2014020100_4HD.npz,0
8,8,data/single-tc-bessttrack/1402.csv,13,data/added_features_data/1402_KAJIKI/arr/2014020100_4HD.npz,1
9,9,data/single-tc-bessttrack/1402.csv,14,data/added_features_data/1402_KAJIKI/arr/2014020100_4HD.npz,2
10,10,data/single-tc-bessttrack/1409.csv,15,data/added_features_data/1409_RAMMASUN/arr/2014071300_4HD.npz,0
11,11,data/single-tc-bessttrack/1409.csv,16,data/added_features_data/1409_RAMMASUN/arr/2014071300_4HD.npz,1
12,12,data/single-tc-bessttrack/1409.csv,17,data/added_features_data/1409_RAMMASUN/arr/2014071300_4HD.npz,2
13,13,data/single-tc-bessttrack/1409.csv,18,data/added_features_data/1409_RAMMASUN/arr/2014071300_4HD.npz,3
14,14,data/single-tc-bessttrack/1409.csv,19,data/added_features_data/1409_RAMMASUN/arr/2014071300_4HD.npz,4
15,15,data/single-tc-bessttrack/1409.csv,20,data/added_features_data/1409_RAMMASUN/arr/2014071300_4HD.npz,5
16,16,data/single-tc-bessttrack/1409.csv,21,data/added_features_data/1409_RAMMASUN/arr/2014071300_4HD.npz,6
17,17,data/single-tc-bessttrack/1409.csv,19,data/added_features_data/1409_RAMMASUN/arr/2014071400_4HD.npz,0
18,18,data/single-tc-bessttrack/1409.csv,20,data/added_features_data/1409_RAMMASUN/arr/2014071400_4HD.npz,1
19,19,data/single-tc-bessttrack/1409.csv,21,data/added_features_data/1409_RAMMASUN/arr/2014071400_4HD.npz,2
20,20,data/single-tc-bessttrack/1409.csv,22,data/added_features_data/1409_RAMMASUN/arr/2014071400_4HD.npz,3
21,21,data/single-tc-bessttrack/1409.csv,23,data/added_features_data/1409_RAMMASUN/arr/2014071400_4HD.npz,4
22,22,data/single-tc-bessttrack/1409.csv,24,data/added_features_data/1409_RAMMASUN/arr/2014071400_4HD.npz,5
23,23,data/single-tc-bessttrack/1409.csv,25,data/added_features_data/1409_RAMMASUN/arr/2014071400_4HD.npz,6
24,24,data/single-tc-bessttrack/1409.csv,23,data/added_features_data/1409_RAMMASUN/arr/2014071500_4HD.npz,0
25,25,data/single-tc-bessttrack/1409.csv,24,data/added_features_data/1409_RAMMASUN/arr/2014071500_4HD.npz,1
26,26,data/single-tc-bessttrack/1409.csv,25,data/added_features_data/1409_RAMMASUN/arr/2014071500_4HD.npz,2
27,27,data/single-tc-bessttrack/1409.csv,26,data/added_features_data/1409_RAMMASUN/arr/2014071500_4HD.npz,3
28,28,data/single-tc-bessttrack/1409.csv,27,data/added_features_data/1409_RAMMASUN/arr/2014071500_4HD.npz,4
29,29,data/single-tc-bessttrack/1409.csv,28,data/added_features_data/1409_RAMMASUN/arr/2014071500_4HD.npz,5
30,30,data/single-tc-bessttrack/1409.csv,29,data/added_features_data/1409_RAMMASUN/arr/2014071500_4HD.npz,6
31,31,data/single-tc-bessttrack/1409.csv,27,data/added_features_data/1409_RAMMASUN/arr/2014071600_4HD.npz,0
